SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3510 Melwood,Polish Hill,PA,15213,314000,2,1,Polish Hill,1608,2639,1905,1,195,,Active,,,https://www.redfin.com/PA/Pittsburgh/3510-Melwood-Ave-15213/home/74563660,West Penn MLS,1588128,N,Y,40.4591218,-79.9608216
MLS Listing,,Single Family Residential,638 Orchard Ave,Bellevue,PA,15202,179900,3,1,Bellevue,1380,3001,1920,1,130,,Active,,,https://www.redfin.com/PA/Bellevue/638-Orchard-Ave-15202/home/74504357,West Penn MLS,1588124,N,Y,40.5011187,-80.0574433
MLS Listing,,Single Family Residential,7 Sylvia Ln,Wilkins Twp,PA,15235,68250,2,1,Wilkins Twp,696,6098,1920,1,98,,Active,,,https://www.redfin.com/PA/Pittsburgh/7-Sylvia-Ln-15235/home/74636929,West Penn MLS,1587816,N,Y,40.4412423,-79.824356
MLS Listing,,Single Family Residential,116 Kathleen St,Mt Washington,PA,15211,225000,5,1,Mt Washington,1710,1999,1910,1,132,,Active,,,https://www.redfin.com/PA/Pittsburgh/116-Kathleen-St-15211/home/74655164,West Penn MLS,1588110,N,Y,40.4253826,-80.003642
MLS Listing,,Single Family Residential,250 Woods Ave,Bellevue,PA,15202,92500,2,1.5,Bellevue,830,8515,1940,1,111,,Active,,,https://www.redfin.com/PA/Pittsburgh/250-Woods-Ave-15202/home/73546479,West Penn MLS,1588102,N,Y,40.5032825,-80.058721
MLS Listing,,Single Family Residential,22 Mount Oliver St,South Side,PA,15210,120000,3,1,South Side,1575,1999,1900,1,76,,Active,,,https://www.redfin.com/PA/Pittsburgh/22-Mount-Oliver-St-15210/home/74497633,West Penn MLS,1583402,N,Y,40.420951,-79.987158
MLS Listing,,Single Family Residential,14 & 16 Ainsworth152,Elliott,PA,15220,37900,2,1,Elliott,,,1900,2,,,Active,,,https://www.redfin.com/PA/Pittsburgh/14-Ainsworth-St-15220/home/74535718,West Penn MLS,1588074,N,Y,40.4439358,-80.0394878
MLS Listing,,Single Family Residential,5301 Gertrude,Hazelwood,PA,15207,199000,5,4,Hazelwood,,4356,1925,2,,,Active,,,https://www.redfin.com/PA/Pittsburgh/5301-Gertrude-St-15207/home/74683043,West Penn MLS,1588069,N,Y,40.4047116,-79.9411522
MLS Listing,,Single Family Residential,1192 Satellite Cir,Upper St. Clair,PA,15241,419000,4,2.5,Upper St. Clair,2156,12632,1963,2,194,,Active,,,https://www.redfin.com/PA/Pittsburgh/1192-Satellite-Cir-15241/home/74619675,West Penn MLS,1588052,N,Y,40.3384703,-80.1055774
MLS Listing,,Single Family Residential,445 Brinwood Ave,Carrick,PA,15227,168500,3,1.5,Carrick,1088,6891,1958,3,155,,Active,,,https://www.redfin.com/PA/Pittsburgh/445-Brinwood-Ave-15227/home/74762290,West Penn MLS,1586233,N,Y,40.3925198,-79.9785203
PAST SALE,July-10-2020,Single Family Residential,66 Bellanca Ave,Brentwood,PA,15227,180000,3,1.5,Brentwood,,4948,1949,3,,,Pending,,,https://www.redfin.com/PA/Pittsburgh/66-Bellanca-Ave-15227/home/74488359,West Penn MLS,1587736,N,Y,40.3808215,-79.9794926
